SECClasS_Code;SECClasS_Title;SECClasS_Title_EN;A1_A3;A1_A5;B1_B5 ;C1_C4;D;Conversion_factor;Unit_Cost;Level;DataBase
Ma;Materiais;Materials;0;0;0;0;0;0;0;;
Ma_20;Combinação de materiais orgânicos/inorgânicos - Combination inorganic/ organic materials;Combination inorganic/ organic materials;0;0;0;0;0;0;0;1;
Ma_20_01;Argila - Adobe;Adobe;0;0;0;0;0;0;0;2;
Ma_20_03;Agregados - Aggregates;Aggregates;0,01;0;0;0;0;0;V;2;ICE DB V3
Ma_20_03_02;Escória de aço arrefecida ao ar - Air-cooled steel slag;Air-cooled steel slag;0;0;0;0;0;0;0;3;
Ma_20_03_04;Agregados normais e pesados  - All-in normal and heavyweight aggregates;All-in normal and heavyweight aggregates;0;0;0;0;0;0;0;3;
Ma_20_03_06;Agregados de barita - Barytes aggregates;Barytes aggregates;0;0;0;0;0;0;0;3;
Ma_20_03_07;Agregados para base, leito e enchimento - Base, bed and fill aggregates;Base, bed and fill aggregates;0;0;0;0;0;0;0;3;
Ma_20_03_07_03;Agregados para base, leito e enchimento - Base, bed and fill all-in aggregates;Base, bed and fill all-in aggregates;0;0;0;0;0;0;0;4;
Ma_20_03_07_15;Agregados grosseiros para base, leito e enchimento - Base, bed and fill coarse aggregates;Base, bed and fill coarse aggregates;0;0;0;0;0;0;0;4;
Ma_20_03_07_30;Agregados finos para base, leito e enchimento - Base, bed and fill fine aggregates;Base, bed and fill fine aggregates;0;0;0;0;0;0;0;4;
Ma_20_03_10;Blinding aggregates - Blinding aggregates;Blinding aggregates;0;0;0;0;0;0;0;3;
Ma_20_03_10_15;Blinding coarse aggregates - Blinding coarse aggregates;Blinding coarse aggregates;0;0;0;0;0;0;0;4;
Ma_20_03_10_30;Blinding fine aggregates - Blinding fine aggregates;Blinding fine aggregates;0;0;0;0;0;0;0;4;
Ma_20_03_13;Clínquer - Clinker;Clinker;0;0;0;0;0;0;0;3;
Ma_20_03_15;Agregados grossos - Coarse aggregates;Coarse aggregates;0;0;0;0;0;0;0;3;
Ma_20_03_15_04;Agregados grossos de pedra - Armourstone coarse aggregates;Armourstone coarse aggregates;0;0;0;0;0;0;0;4;
Ma_20_03_15_34;Agregados gerais grossos - Coarse general aggregates;Coarse general aggregates;0;0;0;0;0;0;0;4;
Ma_20_03_15_47;Agregados leves grossos para betão e argamassa - Coarse lightweight aggregates for concrete and mortar;Coarse lightweight aggregates for concrete and mortar;0;0;0;0;0;0;0;4;
Ma_20_03_15_57;Agregados grossos normais e pesados - Coarse normal and heavyweight aggregates;Coarse normal and heavyweight aggregates;0;0;0;0;0;0;0;4;
Ma_20_03_19;Agregados de pedra britada - Crushed stone aggregates;Crushed stone aggregates;0;0;0;0;0;0;0;3;
Ma_20_03_19_56;Agregados de pedra natural - Natural stone aggregates;Natural stone aggregates;0;0;0;0;0;0;0;4;
Ma_20_03_22;Agregados decorativos - Decorative aggregates;Decorative aggregates;0;0;0;0;0;0;0;3;
Ma_20_03_22_08;Agregados decorativos para pavimentos ligados - Bonded surfacing decorative aggregates;Bonded surfacing decorative aggregates;0;0;0;0;0;0;0;4;
Ma_20_03_22_47;Agregados decorativos para pavimentos soltos - Loose surfacing decorative aggregates;Loose surfacing decorative aggregates;0;0;0;0;0;0;0;4;
Ma_20_03_28;Agregados expandidos - Expanded aggregates;Expanded aggregates;0;0;0;0;0;0;0;3;
Ma_20_03_28_15;Agregados leves de argila expandida - Expanded clay lightweight aggregates;Expanded clay lightweight aggregates;0;0;0;0;0;0;0;4;
Ma_20_03_28_34;Agregados de vidro expandido - Expanded glass aggregates;Expanded glass aggregates;0;0;0;0;0;0;0;4;
Ma_20_03_28_77;Agregados de escória expandida - Expanded slag aggregates;Expanded slag aggregates;0;0;0;0;0;0;0;4;
Ma_20_03_28_79;Agregados de ardósia expandida - Expanded slate aggregates;Expanded slate aggregates;0;0;0;0;0;0;0;4;
Ma_20_03_28_86;Granulado de espuma sintética - Synthetic foam granules;Synthetic foam granules;0;0;0;0;0;0;0;4;
Ma_20_03_30;Agregados finos - Fine aggregates;Fine aggregates;0;0;0;0;0;0;0;3;
Ma_20_03_30_29;Agregados finos gerais - Fine general aggregates;Fine general aggregates;0;0;0;0;0;0;0;4;
Ma_20_03_30_30;Agregados finos leves para betão e argamassa - Fine lightweight aggregates for concrete and mortar;Fine lightweight aggregates for concrete and mortar;0;0;0;0;0;0;0;4;
Ma_20_03_30_31;Agregados finos normais e pesados - Fine normal and heavyweight aggregates;Fine normal and heavyweight aggregates;0;0;0;0;0;0;0;4;
Ma_20_03_30_44;Agregados finos para juntas - Jointing fine aggregates;Jointing fine aggregates;0;0;0;0;0;0;0;4;
Ma_20_03_30_46;Agregados finos para camadas de pavimentação - Laying course fine aggregates;Laying course fine aggregates;0;0;0;0;0;0;0;4;
Ma_20_03_30_48;Finos de calcário - Limestone fines;Limestone fines;0;0;0;0;0;0;0;4;
Ma_20_03_30_86;Agregados finos para tratamento de superfícies - Surface treatment fine aggregates;Surface treatment fine aggregates;0;0;0;0;0;0;0;4;
Ma_20_03_35;Agregados granulares de cortiça - Granular cork aggregates;Granular cork aggregates;0;0;0;0;0;0;0;3;
Ma_20_03_42;Agregados de minério de ferro - Iron ore aggregates;Iron ore aggregates;0;0;0;0;0;0;0;3;
Ma_20_03_47;Agregados leves gerais - Lightweight general aggregates;Lightweight general aggregates;0;0;0;0;0;0;0;3;
Ma_20_03_54;Agregados de argamassa - Mortar aggregates;Mortar aggregates;0;0;0;0;0;0;0;3;
Ma_20_03_54_15;Agregados grossos de argamassa - Mortar coarse aggregates;Mortar coarse aggregates;0;0;0;0;0;0;0;4;
Ma_20_03_54_30;Agregados finos de argamassa - Mortar fine aggregates;Mortar fine aggregates;0;0;0;0;0;0;0;4;
Ma_20_03_56;Pó de pedra natural - Natural stone dusts;Natural stone dusts;0;0;0;0;0;0;0;3;
Ma_20_03_56_51;Pó de mármore - Marble dust;Marble dust;0;0;0;0;0;0;0;4;
Ma_20_03_59;Conchas de ostra - Oyster shells;Oyster shells;0;0;0;0;0;0;0;3;
Ma_20_03_63;Agregados de perlite - Perlite aggregates;Perlite aggregates;0;0;0;0;0;0;0;3;
Ma_20_03_64;Agregados para camadas de pavimento permeáveis - Permeable laying course aggregates;Permeable laying course aggregates;0;0;0;0;0;0;0;3;
Ma_20_03_71;Agregados reciclados - Recycled aggregates;Recycled aggregates;0;0;0;0;0;0;0;3;
Ma_20_03_71_47;Agregados leves reciclados - Recycled lightweight aggregates;Recycled lightweight aggregates;0;0;0;0;0;0;0;4;
Ma_20_03_71_73;Granulado de borracha reciclada - Recycled rubber granules;Recycled rubber granules;0;0;0;0;0;0;0;4;
Ma_20_03_77;Agregados de sucata de ferro - Scrap iron aggregates;Scrap iron aggregates;0;0;0;0;0;0;0;3;
Ma_20_03_80;Agregados de dimensão única - Single-sized aggregates;Single-sized aggregates;0;0;0;0;0;0;0;3;
Ma_20_03_85;Agregados de tratamento de superfície - Surface dressing aggregates;Surface dressing aggregates;0;0;0;0;0;0;0;3;
Ma_20_03_94;Agregados de vermiculite - Vermiculite aggregates;Vermiculite aggregates;0;0;0;0;0;0;0;3;
Ma_20_13;Cerâmica - Ceramic;Ceramic;0;0;0;0;0;0;0;2;
Ma_20_13_18;Coade stone - Coade stone;Coade stone;0;0;0;0;0;0;0;3;
Ma_20_13_26;Earthenware - Earthenware;Earthenware;0;0;0;0;0;0;0;3;
Ma_20_13_27;Encaústica - Encaustic;Encaustic;0;0;0;0;0;0;0;3;
Ma_20_13_65;Porcelana - Porcelain;Porcelain;0;0;0;0;0;0;0;3;
Ma_20_13_88;Terracota - Terracotta;Terracotta;0;0;0;0;0;0;0;3;
Ma_20_16;Argilas - Clays;Clays;0,21;0;0;0;0;0;0;2;ICE DB V3
Ma_20_16_07;Argilas bentoníticas - Bentonite clays;Bentonite clays;0;0;0;0;0;0;0;3;
Ma_20_16_07_12;Bentonite cálcica - Calcium bentonite;Calcium bentonite;0;0;0;0;0;0;0;4;
Ma_20_16_07_66;Bentonite de potássio - Potassium bentonite;Potassium bentonite;0;0;0;0;0;0;0;4;
Ma_20_16_07_83;Bentonite de sódio - Sodium bentonite;Sodium bentonite;0;0;0;0;0;0;0;4;
Ma_20_16_30;Argila refratária - Fire clay;Fire clay;0;0;0;0;0;0;0;3;
Ma_20_16_32;Caulino - Fuller's earth;Fuller's earth;0;0;0;0;0;0;0;3;
Ma_20_16_35;Grog - Grog;Grog;0;0;0;0;0;0;0;3;
Ma_20_16_45;Kaolin - Kaolin;Kaolin;0;0;0;0;0;0;0;3;
Ma_20_16_66;Pozolana - Pozzolana;Pozzolana;0;0;0;0;0;0;0;3;
Ma_20_18;Cob - Cob;Cob;0;0;0;0;0;0;0;2;
Ma_20_18_98;Wychert - Wychert;Wychert;0;0;0;0;0;0;0;3;
Ma_20_21;Daub - Daub;Daub;0;0;0;0;0;0;0;2;
Ma_20_64;Pisé - Pisé;Pisé;0;0;0;0;0;0;0;2;
Ma_20_81;Soil - Soil;Soil;0;0;0;0;0;0;0;2;
