SECClasS_Code;SECCLasS_Title;WBS_L1;WBS_Title_L1;WBS_L2;WBS_Title_L2;WBS_L3;WBS_Title_L3;WBS_Code;WBS_Title;Expected_lifespan;Unit of Measure;Conversion Factor (Kg/m3, Kg/m2, kg/m, kg/u);Unit_Cost;GWP A1-A3 (kgCo2e/m3, kgCo2e/m2, kgCo2e/m, kgCo2e/u);Concrete (%);Clay bricks (%);Ceramic Tiles (%);Ceramic (%);Wood (%);Glass (%);Plastics (%);Bituminous material (%);Copper (%);Aluminium (%);Steel (%);Metal (%);Stone (%);Cork (%);Expanded polystyrene (EPS) (%);Extruded polystyrene foam (XPS) (%);Asbestos (%);Gypsum (%);Adobe (%);Teste (%);Fiberglass (%)
EF_20;Elementos estruturais - Structural elements;01_;Shell;; ;; ;01_;Shell;60;V;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EF_20_05;Infraestrutura - Substructure;01_;Shell;01_02_;Loadbearing structural frame;; ;01_;Loadbearing structural frame;60;V;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EF_20_05_30;Fundações - Foundations;01_;Shell;01_01_;Foundations Subtructure;; ;01_01_;Foundations Subtructure;60;V;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EF_20_10;Superestrutura - Superstructure;01_;Shell;01_02_;Loadbearing structural frame;01_02_01_;Frame (beams, columns and slabs);01_02_;Frame (beams, columns and slabs);60;V;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EF_20_10_15;Estruturas compósitas - Composite structures;01_;Shell;01_02_;Loadbearing structural frame;01_02_01_;Frame (beams, columns and slabs);01_02_01_;Frame (beams, columns and slabs);60;V;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EF_20_10_30;Estruturas porticadas - Framed structures;01_;Shell;01_02_;Loadbearing structural frame;01_02_01_;Frame (beams, columns and slabs);01_02_01_;Frame (beams, columns and slabs);60;V;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EF_20_10_50;Estruturas de membrana - Membrane structures;01_;Shell;01_02_;Loadbearing structural frame;01_02_01_;Frame (beams, columns and slabs);01_02_01_;Frame (beams, columns and slabs);60;V;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EF_20_10_75;Estruturas de casca - Shell structures;01_;Shell;01_02_;Loadbearing structural frame;01_02_01_;Frame (beams, columns and slabs);01_02_01_;Frame (beams, columns and slabs);60;V;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EF_20_10_80;Estruturas maciças - Solid structures;01_;Shell;01_02_;Loadbearing structural frame;01_02_01_;Frame (beams, columns and slabs);01_02_01_;Frame (beams, columns and slabs);60;V;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EF_20_50;Estruturas de pontes - Bridge structures;01_;Shell;01_02_;Loadbearing structural frame;01_02_01_;Frame (beams, columns and slabs);01_02_01_;Frame (beams, columns and slabs);60;V;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
