ElementID,SECClasS_Code,SECClasS_Title,Family and Type,Volume,Area,Length,Phase_Created,Quantity of elements,WBS_L1,WBS_Title_L1,WBS_L2,WBS_Title_L2,WBS_L3,WBS_Title_L3,WBS_Code,Expected_lifespan,Mass,Co2_Total,BLC_Mass_Total,BLC_Co2_Total,Normalised requirement factor over building lifetime,Measure,Conversion_Factor,Unit_Cost,Cost,GWP_A1-A3,id,Mass_Concrete,Mass_Bricks,Mass_Tiles,Mass_Ceramics,Mass_Wood,Mass_Glass,Mass_Plastic,Mass_Bituminous_mixtures,Mass_Copper_bronze_brass,Mass_Aluminium,Mass_Iron_steel,Mass_Other_metal,Mass_Soil_stones,Mass_Dredging_spoil,Mass_Track_ballast,Mass_Insulation_materials,Mass_Asbestos_containing_materials,Mass_Gypsum_based_materials,Mass_Electrical_electronic_equipment,Mass_Cables,Co2_Concrete,Co2_Bricks,Co2_Tiles,Co2_Ceramics,Co2_Wood,Co2_Glass,Co2_Plastic,Co2_Bituminous_mixtures,Co2_Copper_bronze_brass,Co2_Aluminium,Co2_Iron_steel,Co2_Other_metal,Co2_Soil_stones,Co2_Dredging_spoil,Co2_Track_ballast,Co2_Insulation_materials,Co2_Asbestos_containing_materials,Co2_Gypsum_based_materials,Co2_Electrical_electronic_equipment,Co2_Cables,BLC_Mass_Concrete,BLC_Mass_Bricks,BLC_Mass_Tiles,BLC_Mass_Ceramics,BLC_Mass_Wood,BLC_Mass_Glass,BLC_Mass_Plastic,BLC_Mass_Bituminous_mixtures,BLC_Mass_Copper_bronze_brass,BLC_Mass_Aluminium,BLC_Mass_Iron_steel,BLC_Mass_Other_metal,BLC_Mass_Soil_stones,BLC_Mass_Dredging_spoil,BLC_Mass_Track_ballast,BLC_Mass_Insulation_materials,BLC_Mass_Asbestos_containing_materials,BLC_Mass_Gypsum_based_materials,BLC_Mass_Electrical_electronic_equipment,BLC_Mass_Cables,BLC_Co2_Concrete,BLC_Co2_Bricks,BLC_Co2_Tiles,BLC_Co2_Ceramics,BLC_Co2_Wood,BLC_Co2_Glass,BLC_Co2_Plastic,BLC_Co2_Bituminous_mixtures,BLC_Co2_Copper_bronze_brass,BLC_Co2_Aluminium,BLC_Co2_Iron_steel,BLC_Co2_Other_metal,BLC_Co2_Soil_stones,BLC_Co2_Dredging_spoil,BLC_Co2_Track_ballast,BLC_Co2_Insulation_materials,BLC_Co2_Asbestos_containing_materials,BLC_Co2_Gypsum_based_materials,BLC_Co2_Electrical_electronic_equipment,BLC_Co2_Cables
312086,Ss_25_13_50.PDE,Sistemas de parede de alvenaria - Masonry wall systems,Basic Wall - Wall_Ext_CBIM,5.78,18.22,4.67,,17,01_,Shell,01_02_,Loadbearing structural frame,01_02_03_,External walls,01_02_03_,60,0.0,0.0,0.0,0.0,0.1,A,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
312125,Ss_25_13_50.PDE,Sistemas de parede de alvenaria - Masonry wall systems,Basic Wall - Wall_Ext_CBIM,7.21,22.7,5.97,,17,01_,Shell,01_02_,Loadbearing structural frame,01_02_03_,External walls,01_02_03_,60,0.0,0.0,0.0,0.0,0.1,A,0.0,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
312398,Ss_25_13_50.PDE,Sistemas de parede de alvenaria - Masonry wall systems,Basic Wall - Wall_Ext_CBIM,5.33,16.8,3.78,,17,01_,Shell,01_02_,Loadbearing structural frame,01_02_03_,External walls,01_02_03_,60,0.0,0.0,0.0,0.0,0.1,A,0.0,0,0.0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
312462,Ss_25_13_50.PDE,Sistemas de parede de alvenaria - Masonry wall systems,Basic Wall - Wall_Ext_CBIM,11.54,36.35,9.18,,17,01_,Shell,01_02_,Loadbearing structural frame,01_02_03_,External walls,01_02_03_,60,0.0,0.0,0.0,0.0,0.1,A,0.0,0,0.0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
312500,Ss_25_13_50.PDE,Sistemas de parede de alvenaria - Masonry wall systems,Basic Wall - Wall_Ext_CBIM,5.5,17.31,3.9,,17,01_,Shell,01_02_,Loadbearing structural frame,01_02_03_,External walls,01_02_03_,60,0.0,0.0,0.0,0.0,0.1,A,0.0,0,0.0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
325253,Ss_25_13_50.PDI,Sistemas de parede de alvenaria - Masonry wall systems,Basic Wall - Wall_Int_CBIM,1.47,10.86,3.99,,14,01_,Shell,01_03_,Non-load bearing elements,01_03_02_,Internal walls. partitions and doors,01_03_02_,30,0.0,0.0,0.0,0.0,0.2,A,0.0,0,0.0,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
325295,Ss_25_13_50.PDI,Sistemas de parede de alvenaria - Masonry wall systems,Basic Wall - Wall_Int_CBIM 2,2.15,14.6,3.63,,14,01_,Shell,01_03_,Non-load bearing elements,01_03_02_,Internal walls. partitions and doors,01_03_02_,30,0.0,0.0,0.0,0.0,0.2,A,0.0,0,0.0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
325469,Ss_25_13_50.PDI,Sistemas de parede de alvenaria - Masonry wall systems,Basic Wall - Wall_Int_CBIM,1.12,8.33,2.42,,14,01_,Shell,01_03_,Non-load bearing elements,01_03_02_,Internal walls. partitions and doors,01_03_02_,30,0.0,0.0,0.0,0.0,0.2,A,0.0,0,0.0,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
345746,Ss_25_13_50.PDE,Sistemas de parede de alvenaria - Masonry wall systems,Basic Wall - Wall_Ext_CBIM,14.47,45.59,11.95,,17,01_,Shell,01_02_,Loadbearing structural frame,01_02_03_,External walls,01_02_03_,60,0.0,0.0,0.0,0.0,0.1,A,0.0,0,0.0,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
345949,Ss_25_13_50.PDE,Sistemas de parede de alvenaria - Masonry wall systems,Basic Wall - Wall_Ext_CBIM,12.69,44.01,16.66,,17,01_,Shell,01_02_,Loadbearing structural frame,01_02_03_,External walls,01_02_03_,60,0.0,0.0,0.0,0.0,0.1,A,0.0,0,0.0,0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
